# snapshot of SPL token holders generated by draw.py at 2026-05-28T20:56:57+00:00
# mint:           AUpLqujdbYW3D9phvGoKiHEHsqnNmDxQkeHY1BhZpump
# decimals:       6
# min_balance:    1000000.0 tokens (raw threshold 1000000000000)
# excluded:       ['92SwQJhXsLvbmdwGdD8E6G5v8G8J73GoCruEGJ11MirV']
# pages_consumed: 2 (Helius page size 1000)
# distinct_owners_seen: 88
# qualifying_holders:   61
#
# wallet                                          balance_tokens (informational - draw.py ignores comment lines)
5FMTjLRqTCxhghQiy4gGwSyTJE51zUm669zzBoMDmMUH  # 440321786.593583
2BvJvonHisG1JTbpPgs2P4Kdr1fcjYLnci2VRFZMDUe8  # 25624295.915814
E4BFGt9jEVJzgiFTKrsi8wBZeSx9zspTFWwcjPnhRjDE  # 23793788.207256
6EJXovrPv96RLLWo5YVQDfwaYJv83Z8wNcpeL6nWnAdy  # 22981043.974056
4k92XBen2ofaTYi5ntXX9TVjMPgFaaZRK5K8UmtLKqez  # 22374790.179114
G4ZWrLSqLp5kk8b2KVDafRH3ymv1FvjkpHKiyDbaRp5M  # 20870486.221632
Grcr5GtV7sy6rstAwUftrEGCpciEnt7vRqXBDPmaELpb  # 20121788.549102
94kTiFrT8H77H1osdJiEnXhxwZ5aez2kdGTZ1HSVzgu8  # 19692037.204007
LCjbw1AR65QwRUYFk1Tv9i54RSLQP5VrYaXxMV59nuw  # 18253251.857202
ACTbvbNm5qTLuofNRPxFPMtHAAtdH1CtzhCZatYHy831  # 17499773.037271
FTbbzush3nej56AiJUtqQ5FPYrXF1qAKPxUQfWNTW7eH  # 16744524.816111
AURAxp9VzsepCEerrtrpbvLBtzGibQxoSK6nPvVYuB9e  # 16646416.627426
2fMR1SjSQKfFSPSkLP5Jg9bJbabm3RM5MUCNr38XNd9a  # 16433190.681516
9WTJKYVrQet15E3uw8CbUSXwjh4ifik1Y1dDrvQfMJf9  # 16039715.969334
Az1eJVg4nNePEiZLqfNYWc7cjdZfmMPV4NMwkvhdcicH  # 16006512.183673
3Ue4jmD4YVTCfPSipkguhRWFJF96mHySaCB6vP4iu8Y4  # 15319822.339253
Hk1BC7cod971YE7txdGaWBMg6cNWXFjigLqdd96gEZYU  # 14428807.706062
HbeQqyVmZLweFNibRdk6GyXu4z8GPfVVvDk1YmvDYkYR  # 14165990.227161
CvHWMCpuyGee3w35FdzrWPkUnQrHWx6avLXjFdaV6KJU  # 12487186.356972
FjyzXUKFBfPCdCotA8iYvqgPNNEzNC6jVLXJixBU5BdU  # 12169012.547076
EGhDwZc5unkPmPJ2gkFnfeVvtdBBc2u8qM4q81ndmagZ  # 11165641.190481
HH4c3wn8yhdxMJwP7YGrqBaWAAD6kKrSig4cVWbX6xMJ  # 10941119.649783
7kMdxmCFWAWA9wK2HvqHPsk2ZEPFqftakqMeS6YPwSgr  # 10096884.793854
8ShH3vbii5vbxXpDSt8Nu8fg2JBrAcygSL2kCeGD9PQK  # 9761349.391164
9j4kVYJwqp8pTGtoWYdmoio4tf6nagJP6hiZwJNHwwcP  # 9123072.070076
9EtwoeVJabUDvyEkA9K1MErysiuZWghfWyfj2KuzbHNA  # 8884489.460889
LuitxHPxN8UU78q5Fp6VjotgtYKAGJNviS2gb2TSt5T  # 8787680.728585
zjvkG7tnrNbH3xpsU3nVHxxN1U9azHh1kbq6KrveexH  # 8455138.965592
6xX7LudE5AqnTUc8dJJfzuarkSc6WMw7qRHgQXUdWauJ  # 8346562.277093
LuitxRGMJErT1N5JDArXVuxtsomBUsLZHf9Yf1TVBBn  # 8052089.374531
3aYqFbYWLxgDjBLMC27JugwceTNaMxPYNGwGz3ZAQFS7  # 7191177.886038
9ZcfxbkdhYJLffyFcViyRE6LjPpKsb5tGqMjCgLGWTmG  # 7087803.552930
8zkgFGVZrDLieViwqiXFCydSX6WL5hsxmUu55yBdsNsZ  # 6832059.602060
Gghj6515zeefxS2Dv7vwSSGyWqtASJFojuLwVMFsc6FN  # 6767226.077944
EW1BMaF3AUnu9anjUmu8p3EY5F33ZhMESi7V2DJHNgNw  # 6632292.430602
THXcGyTMLSKWmvpDpdgL8G224xfMXksCfA29LBoJfUJ  # 6533132.659234
9DX32q4BTWi9BSAxWpD2AKNKsfHtKHcM4bzKLwLHiZrB  # 6355510.499017
AvytAMrut8pYq1112epFVSie4tCv57XtAy2gG3XQAN3y  # 6250170.354279
FFEjC9MHhpQViBPrD2iU6LmV2hEigyhLJaL7MZUZzyD4  # 5822933.816599
PainYQyrUHvD9F1hsw2RjZyE5TQdPvK3MHNyisN2yQt  # 5659946.932183
GceGaGwFstugYpasv5VfrSsfn8T1tDiJXUDcqiTpm17y  # 5492881.485512
LuitxLVbB4zEGPXBnDaTiCAczpZK9ymbKAgf2eczAuu  # 5390378.681178
7VzYWk2exTv8vqW4RUTrFAhmERcwPRPRY79xDhX7YAb8  # 5154537.893993
C1vEYSpfMekTXvfjKBjmcfJWdg6F7pcuC1yorrjKaXRn  # 4337452.208445
AgEkFUGK8FxfkBJCGaL9iRY4mj8zL5KVi1bEofsbu4BW  # 3030507.057031
FGYPJNoMjQ7PCYTz8MWgy6QSWnE2UtDHnDF48XTtnGaK  # 3022492.333218
4Tn4tddSq4DfMjW5ikPsXb3nQ6JSf4uPQinVhzjaANxo  # 3022108.953623
BLypbjSTQsSAqtjKCDUPxbhh9Gb3CEF8nMEFAq4GNyB5  # 2448694.057025
HvdqfoVQFwvCTukM7hHzpgGfm3byPqu5G6rWDY6CBvkD  # 2350589.329274
2tgUbS9UMoQD6GkDZBiqKYCURnGrSb6ocYwRABrSJUvY  # 2197367.968752
BuqG3mAximE1vqVCxDVythTsbeHSBNvEy7qVdWVztgjs  # 2172012.875615
He4fAtfvGjHaAmYRDdPJdC1v5hQ1pQcV7wvZRRoCQRZx  # 1948916.051263
YCDTiFvcPa3k6938JBD725TnKRPLy6aX2Sz2nPDfoYC  # 1482916.878445
EjbuDstpfom88pPwiSsUVKXfrVBxR4681FAvSZ5ZqK8k  # 1472889.537287
9FE5GtdrjxMz8C2iptb4wp1kU11iHVa7gGjTk4mrfha5  # 1398738.684670
EijaLrJw4buG4gkBkRLYN3oHeSgviPLgSHW9eoVp985U  # 1319924.100387
CkUZV387xnoGpF7wC2moMa6mPmAgCvTT4pWgzq4M9fCD  # 1232352.994723
2nsDrQKkUGB7WPruuiAH5dNBqnCrYE13s2PtRPSXaJkK  # 1221853.722360
Cpab2WS5FiNQsLq8FyoW2NunthyUDVJeDwqTrBYS3Pcy  # 1195618.698589
BUDSqGcajaaMk3Zh3b63QeB7snS4UyzX1obQZVHRBXbT  # 1158247.328931
Bin3uJqCjdvZqZu1rDjq9dtn52pfkec7eLQm71VHs2wo  # 1094171.671203
